"오래되다","быть старым, давним (o-rae-doe-da)"
"быть старым, давним","오래되다 (o-rae-doe-da)"
"호수","озеро (ho-su)"
"озеро","호수 (ho-su)"
"맥주","пиво (maek-jju)"
"пиво","맥주 (maek-jju)"
"벚꽃","цветение вишни (beot-kkot)"
"цветение вишни","벚꽃 (beot-kkot)"
"한강","река Ханган (han-gang)"
"река Ханган","한강 (han-gang)"
"해산물","морепродукты (hae-san-mul)"
"морепродукты","해산물 (hae-san-mul)"
"생선회","сашими, сырая рыба (saeng-seon-hoe)"
"сашими, сырая рыба","생선회 (saeng-seon-hoe)"
"절(사원)","буддийский храм (jeol (sa-won))"
"буддийский храм","절(사원) (jeol (sa-won))"
"박물관","музей (bang-mul-gwan)"
"музей","박물관 (bang-mul-gwan)"
"건물","здание (geon-mul)"
"здание","건물 (geon-mul)"
"높다","высокий (nop-da)"
"высокий","높다 (nop-da)"
"많다","много (manh-da)"
"много","많다 (manh-da)"
"복잡하다","сложный, запутанный (bok-jjab-ha-da)"
"сложный, запутанный","복잡하다 (bok-jjab-ha-da)"
"야경","ночной пейзаж (ya-gyeong)"
"ночной пейзаж","야경 (ya-gyeong)"
"아름답다","красивый (a-reum-dap-da)"
"красивый","아름답다 (a-reum-dap-da)"
"교통","транспорт (gyo-tong)"
"транспорт","교통 (gyo-tong)"
"편리하다","удобный, практичный, функциональный (pyeon-ri-ha-da)"
"удобный, практичный, функциональный","편리하다 (pyeon-ri-ha-da)"
"한적하다","спокойный, безлюдный (han-jeok-ha-da)"
"спокойный, безлюдный","한적하다 (han-jeok-ha-da)"
"깨끗하다","чистый (kkae-kkeut-ha-da)"
"чистый","깨끗하다 (kkae-kkeut-ha-da)"
"조용하다","тихий (jo-yong-ha-da)"
"тихий","조용하다 (jo-yong-ha-da)"
"낮다","низкий (nat-da)"
"низкий","낮다 (nat-da)"
"특히","особенно (teuk-hi)"
"особенно","특히 (teuk-hi)"
"관광지","туристическое место (gwan-gwang-ji)"
"туристическое место","관광지 (gwan-gwang-ji)"
"섬","остров (seom)"
"остров","섬 (seom)"
"청소하다","убирать (cheong-so-ha-da)"
